loss_obs_step,train/ce_loss_step,train/loss_weighted_step,train/ewc_raw_step,train/lambda_ewc_step,train/ewc_term_step,train/loss_total_step,epoch,step,avg_val_loss_wm,loss_obs_epoch,train/ce_loss_epoch,train/loss_weighted_epoch,train/ewc_raw_epoch,train/lambda_ewc_epoch,train/ewc_term_epoch,train/loss_total_epoch
1.3213251829147339,1.3301042318344116,1.3301042318344116,0.0,100.0,0.0,1.3301042318344116,0,9,,,,,,,,
0.7703993320465088,0.381722629070282,0.3817225992679596,0.0,100.0,0.0,0.3817225992679596,0,19,,,,,,,,
0.5985243320465088,0.25618958473205566,0.2561896741390228,0.0,100.0,0.0,0.2561896741390228,0,29,,,,,,,,
0.5847800970077515,0.20801100134849548,0.20801103115081787,0.0,100.0,0.0,0.20801103115081787,0,39,,,,,,,,
0.5107060074806213,0.1769222915172577,0.17692232131958008,0.0,100.0,0.0,0.17692232131958008,0,49,,,,,,,,
0.3216145932674408,0.13517369329929352,0.13517367839813232,0.0,100.0,0.0,0.13517367839813232,0,59,,,,,,,,
0.1072048619389534,0.09009355306625366,0.09009358286857605,0.0,100.0,0.0,0.09009358286857605,0,69,,,,,,,,
0.082899309694767,0.06200309097766876,0.06200309470295906,0.0,100.0,0.0,0.06200309470295906,0,79,,,,,,,,
0.06568287312984467,0.03857611492276192,0.03857611492276192,0.0,100.0,0.0,0.03857611492276192,0,89,,,,,,,,
0.014467592351138592,0.01573861762881279,0.01573862135410309,0.0,100.0,0.0,0.01573862135410309,0,99,,,,,,,,
0.030526621267199516,0.019923288375139236,0.019923288375139236,0.0,100.0,0.0,0.019923288375139236,0,109,,,,,,,,
0.0010127314599230886,0.014006201177835464,0.014006197452545166,0.0,100.0,0.0,0.014006197452545166,0,119,,,,,,,,
0.0031828703358769417,0.013455954380333424,0.013455959036946297,0.0,100.0,0.0,0.013455959036946297,0,129,,,,,,,,
0.00028935185400769114,0.006433013826608658,0.006433014292269945,0.0,100.0,0.0,0.006433014292269945,0,139,,,,,,,,
,,,,,,,0,139,0.0049489950761199,,,,,,,
,,,,,,,1,139,,0.6000269055366516,0.3223923444747925,0.3223923444747925,0.0,100.0,0.0,0.3223923444747925
0.0164930559694767,0.011333485133945942,0.01133348885923624,0.0,100.0,0.0,0.01133348885923624,1,149,,,,,,,,
0.011863426305353642,0.004228276200592518,0.004228275269269943,0.0,100.0,0.0,0.004228275269269943,1,159,,,,,,,,
0.00390625,0.006518159061670303,0.00651816138997674,0.0,100.0,0.0,0.00651816138997674,1,169,,,,,,,,
0.02387152798473835,0.005342048592865467,0.005342048592865467,0.0,100.0,0.0,0.005342048592865467,1,179,,,,,,,,
0.0017361111240461469,0.006771526299417019,0.0067715272307395935,0.0,100.0,0.0,0.0067715272307395935,1,189,,,,,,,,
0.0186631940305233,0.00684888381510973,0.00684888893738389,0.0,100.0,0.0,0.00684888893738389,1,199,,,,,,,,
0.0,0.0022241841070353985,0.0022241841070353985,0.0,100.0,0.0,0.0022241841070353985,1,209,,,,,,,,
0.0005787037080153823,0.0027245599776506424,0.002724560210481286,0.0,100.0,0.0,0.002724560210481286,1,219,,,,,,,,
0.00014467592700384557,0.001841201214119792,0.001841200515627861,0.0,100.0,0.0,0.001841200515627861,1,229,,,,,,,,
0.0,0.0013086225371807814,0.0013086223043501377,0.0,100.0,0.0,0.0013086223043501377,1,239,,,,,,,,
0.0,0.002102914731949568,0.002102913800626993,0.0,100.0,0.0,0.002102913800626993,1,249,,,,,,,,
0.013744212687015533,0.006953459233045578,0.0069534629583358765,0.0,100.0,0.0,0.0069534629583358765,1,259,,,,,,,,
0.028356481343507767,0.013668539002537727,0.01366854552179575,0.0,100.0,0.0,0.01366854552179575,1,269,,,,,,,,
0.0028935186564922333,0.007687801495194435,0.007687801960855722,0.0,100.0,0.0,0.007687801960855722,1,279,,,,,,,,
,,,,,,,1,279,0.0015717179048806429,,,,,,,
,,,,,,,2,279,,0.007657492067664862,0.0058112964034080505,0.005811296869069338,0.0,100.0,0.0,0.005811296869069338
