loss_obs_step,train/loss_weighted_step,train/ewc_raw_step,train/lambda_ewc_step,train/ewc_term_step,train/loss_total_step,epoch,step,avg_val_loss_wm,loss_obs_epoch,train/loss_weighted_epoch,train/ewc_raw_epoch,train/lambda_ewc_epoch,train/ewc_term_epoch,train/loss_total_epoch
0.8114625215530396,0.8114626407623291,0.0,100.0,0.0,0.8114626407623291,0,9,,,,,,,
0.484188973903656,0.484188973903656,0.0,100.0,0.0,0.484188973903656,0,19,,,,,,,
0.389658659696579,0.389658659696579,0.0,100.0,0.0,0.389658659696579,0,29,,,,,,,
0.3150578737258911,0.3150578737258911,0.0,100.0,0.0,0.3150578737258911,0,39,,,,,,,
0.12321395426988602,0.12321395426988602,0.0,100.0,0.0,0.12321395426988602,0,49,,,,,,,
0.09699461609125137,0.09699460864067078,0.0,100.0,0.0,0.09699460864067078,0,59,,,,,,,
0.07161282002925873,0.07161282002925873,0.0,100.0,0.0,0.07161282002925873,0,69,,,,,,,
0.04796212911605835,0.04796212911605835,0.0,100.0,0.0,0.04796212911605835,0,79,,,,,,,
0.05249876528978348,0.052498772740364075,0.0,100.0,0.0,0.052498772740364075,0,89,,,,,,,
0.03297249600291252,0.03297249600291252,0.0,100.0,0.0,0.03297249600291252,0,99,,,,,,,
0.028783367946743965,0.028783367946743965,0.0,100.0,0.0,0.028783367946743965,0,109,,,,,,,
0.02627699449658394,0.026276996359229088,0.0,100.0,0.0,0.026276996359229088,0,119,,,,,,,
0.027934512123465538,0.027934512123465538,0.0,100.0,0.0,0.027934512123465538,0,129,,,,,,,
0.02527078427374363,0.02527078427374363,0.0,100.0,0.0,0.02527078427374363,0,139,,,,,,,
,,,,,,0,139,0.013829775154590607,,,,,,
,,,,,,1,139,,0.2045433074235916,0.2045433074235916,0.0,100.0,0.0,0.2045433074235916
0.012674741446971893,0.012674740515649319,0.0,100.0,0.0,0.012674740515649319,1,149,,,,,,,
0.014863378368318081,0.01486338023096323,0.0,100.0,0.0,0.01486338023096323,1,159,,,,,,,
0.008243484422564507,0.008243485353887081,0.0,100.0,0.0,0.008243485353887081,1,169,,,,,,,
0.009369121864438057,0.009369121864438057,0.0,100.0,0.0,0.009369121864438057,1,179,,,,,,,
0.01991318352520466,0.019913185387849808,0.0,100.0,0.0,0.019913185387849808,1,189,,,,,,,
0.017258865758776665,0.017258863896131516,0.0,100.0,0.0,0.017258863896131516,1,199,,,,,,,
